Nome;Nível;Início;Término;Instituição;Situação;Motivo do interrrompimento;LINK;ID
Gabriel Caldas Montes;PQ-1D;01/03/20;29/02/24;UFF;Em folha de pagamento;;http://lattes.cnpq.br/3790543172087198;3790543172087198
Gervásio Ferreira dos Santos;PQ-2;01/03/22;28/02/25;UFBA;Em folha de pagamento;;http://lattes.cnpq.br/6090603493401276;6090603493401276
Gibran da Silva Teixeira;PQ-2;01/03/22;28/02/25;FURG;Em folha de pagamento;;http://lattes.cnpq.br/0334475377635171;0334475377635171
Gilberto Tadeu Lima;PQ-1A;01/03/19;29/02/24;FEAC/USP;Em folha de pagamento;;http://lattes.cnpq.br/8351965334605857;8351965334605857
Giuliano Contento de Oliveira;PQ-2;01/03/23;28/02/26;UNICAMP;Em folha de pagamento;;http://lattes.cnpq.br/6980919103769877;6980919103769877
Guilherme Diniz Irffi;PQ-2;01/03/23;28/02/26;UFC;Em folha de pagamento;;http://lattes.cnpq.br/8821559850261716;8821559850261716
Guilherme Valle Moura;PQ-2;01/03/23;28/02/26;UFSC;Em folha de pagamento;;http://lattes.cnpq.br/8741555716252336;8741555716252336
Gustavo de Britto Rocha;PQ-2;01/03/23;28/02/26;UFMG;Em folha de pagamento;;http://lattes.cnpq.br/5668137663316742;5668137663316742
Gustavo Maurício Gonzaga;PQ-2;01/03/23;28/02/26;PUC-Rio;Em folha de pagamento;;http://lattes.cnpq.br/5246086378299715;5246086378299715
Helder Ferreira de Mendonça;PQ-1A;01/03/19;29/02/24;UFF;Em folha de pagamento;;http://lattes.cnpq.br/8951221071397719;8951221071397719
Henrique Morrone;PQ-2;01/03/21;29/02/24;UFRGS;Em folha de pagamento;;http://lattes.cnpq.br/2470152487280396;2470152487280396
Herick Fernando Moralles;PQ-2;01/03/23;28/02/26;UFSCAR;Em folha de pagamento;;http://lattes.cnpq.br/3603674784653923;3603674784653923
Hildo Meirelles de Souza Filho;PQ-2;01/03/23;28/02/26;UFSCAR;Em folha de pagamento;;http://lattes.cnpq.br/3740950346967524;3740950346967524
Humberto Francisco Silva Spolador;PQ-2;01/03/22;28/02/25;USP;Em folha de pagamento;;http://lattes.cnpq.br/1699973266697060;1699973266697060
Ivan Colangelo Salomão;PQ-2;01/03/21;29/02/24;UFPR;Em folha de pagamento;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/9840246719284048;9840246719284048
Izete Pengo Bagolin;PQ-2;01/03/21;29/02/24;PUCRS;Em folha de pagamento;;http://lattes.cnpq.br/9977571999200680;9977571999200680
Jaime José Orrillo Carhuajulca;PQ-2;01/03/23;28/02/26;UCB/DF;Em folha de pagamento;;http://lattes.cnpq.br/0227304533127933;0227304533127933
Jair Andrade de Araujo;PQ-1D;01/03/22;28/02/26;UFC;Em folha de pagamento;;http://lattes.cnpq.br/7374641262802257;7374641262802257
Jaylson Jair da Silveira;PQ-2;01/03/22;28/02/25;UFSC;Em folha de pagamento;;http://lattes.cnpq.br/8638236111895553;8638236111895553
Jefferson Andronio Ramundo Staduto;PQ-2;01/03/21;29/02/24;UNIOESTE;Em folha de pagamento;;http://lattes.cnpq.br/1308909292661318;1308909292661318
Jéfferson Augusto Colombo;PQ-2;01/03/23;28/02/26;FGV;Em folha de pagamento;;http://lattes.cnpq.br/9899088720488499;9899088720488499
Jevuks Matheus de Araujo;PQ-2;01/03/23;28/02/26;UFPB;Em folha de pagamento;;http://lattes.cnpq.br/0511631562841971;0511631562841971
João Frois Caldeira;PQ-1C;01/03/23;28/02/27;UFSC;Em folha de pagamento;;http://lattes.cnpq.br/5874801817928073;5874801817928073
Joao Luiz Maurity Saboia;PQ-SR;01/03/21;28/02/26;UFRJ;Em folha de pagamento;;http://lattes.cnpq.br/7409551892912514;7409551892912514
João Policarpo Rodrigues Lima;PQ-1D;01/03/21;28/02/25;UFPE;Em folha de pagamento;;http://lattes.cnpq.br/2889563456428123;2889563456428123
João Prates Romero;PQ-2;01/03/22;28/02/25;UFMG;Em folha de pagamento;;http://lattes.cnpq.br/3753946953125246;3753946953125246
João Victor Issler;PQ-1A;01/03/21;28/02/26;FGV;Em folha de pagamento;;http://lattes.cnpq.br/3308960016106373;3308960016106373
José Angelo Costa do Amor Divino;PQ-1C;01/03/20;29/02/24;UCB/DF;Em folha de pagamento;;http://lattes.cnpq.br/4790508103951006;4790508103951006
José Felipe Araujo de Almeida;PQ-1D;01/03/22;28/02/26;UFPR;Em folha de pagamento;;http://lattes.cnpq.br/5629326910547331;5629326910547331
Jose Heleno Faro;PQ-2;01/03/23;28/02/26;INSPER;Em folha de pagamento;;http://lattes.cnpq.br/7741121296126010;7741121296126010
José Luís da Costa Oreiro;PQ-1D;01/03/22;28/02/26;UnB;Em folha de pagamento;;http://lattes.cnpq.br/3747519200935517;3747519200935517
José Valentim Machado Vicente;PQ-2;01/03/23;28/02/26;IBMEC;Em folha de pagamento;;http://lattes.cnpq.br/7000419726388412;7000419726388412
Junior Ruiz Garcia;PQ-2;01/03/22;28/02/25;UFPR;Em folha de pagamento;;http://lattes.cnpq.br/0973686004919998;0973686004919998
Kalinca Leia Becker;PQ-2;01/03/22;28/02/25;UFSM;Em folha de pagamento;;http://lattes.cnpq.br/9082069520269585;9082069520269585
Kênia Barreiro de Souza;PQ-2;01/03/22;28/02/25;UFPR;Em folha de pagamento;;http://lattes.cnpq.br/2406392719606937;2406392719606937
Kenya Valeria Micaela de Souza Noronha;PQ-2;01/03/23;28/02/26;UFMG;Em folha de pagamento;;http://lattes.cnpq.br/9239617064428614;9239617064428614
Leandro dos Santos Maciel;PQ-2;01/03/21;29/02/24;USP;Em folha de pagamento;;http://lattes.cnpq.br/8223366539713305;8223366539713305
Leandro Gorno;PQ-2;01/03/22;28/02/25;FGV;Em folha de pagamento;;http://lattes.cnpq.br/2086199766903206;2086199766903206
Leda Maria Paulani;PQ-1D;01/03/20;29/02/24;FEAC/USP;Em folha de pagamento;;http://lattes.cnpq.br/8060340964685263;8060340964685263
Leonardo Andrade Rocha;PQ-2;01/03/22;28/02/25;UFERSA;Em folha de pagamento;;http://lattes.cnpq.br/1760530300831377;1760530300831377
