Nome;Nível;Início;Término;Instituição;Situação;Motivo do interrrompimento;LINK;ID
Sergio Naruhiko Sakurai;PQ-2;01/03/22;28/02/25;USP;Suspenso;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/4597590956322930;4597590956322930
Sergio Pinheiro Firpo;PQ-1C;01/03/21;28/02/25;INSPER;Em folha de pagamento;;http://lattes.cnpq.br/3368095273001627;3368095273001627
Silvio Hong Tiing Tai;PQ-2;01/03/22;28/02/25;UDESC;Em folha de pagamento;;http://lattes.cnpq.br/6127371493299577;6127371493299577
Suzana Quinet de Andrade Bastos;PQ-2;01/03/22;28/02/25;UFJF;Em folha de pagamento;;http://lattes.cnpq.br/0945139577862255;0945139577862255
Tatiane Almeida de Menezes;PQ-2;01/03/21;29/02/24;UFPE;Em folha de pagamento;;http://lattes.cnpq.br/5982392759349128;5982392759349128
Terciane Sabadini Carvalho;PQ-2;01/03/21;29/02/24;UFPR;Em folha de pagamento;;http://lattes.cnpq.br/2333683888397456;2333683888397456
Thiago Christiano Silva;PQ-1D;01/03/23;28/02/27;UCB/DF;Em folha de pagamento;;http://lattes.cnpq.br/6238208958412798;6238208958412798
Thiago Fonseca Morello Ramalho da Silva;PQ-2;01/03/22;28/02/25;UFABC;Em folha de pagamento;;http://lattes.cnpq.br/6219831410359178;6219831410359178
Thyago Celso Cavalcante Nepomuceno;PQ-2;01/03/23;28/02/26;UFPE;Em folha de pagamento;;http://lattes.cnpq.br/4815452948320665;4815452948320665
Tito Belchior Silva Moreira;PQ-1D;01/03/21;28/02/25;UCB/DF;Em folha de pagamento;;http://lattes.cnpq.br/9771375337451257;9771375337451257
Umberto Antonio Sesso Filho;PQ-2;01/03/21;29/02/24;UEL;Em folha de pagamento;;http://lattes.cnpq.br/9797690885662688;9797690885662688
Valdério Anselmo Reisen;PQ-2;01/03/21;29/02/24;UFES;Em folha de pagamento;;http://lattes.cnpq.br/9401938646002189;9401938646002189
Victor Filipe Martins-da-Rocha;PQ-1D;01/03/20;29/02/24;FGV;Em folha de pagamento;;http://lattes.cnpq.br/6197380886288219;6197380886288219
Vitor Augusto Ozaki;PQ-2;01/03/23;28/02/26;USP;Em folha de pagamento;;http://lattes.cnpq.br/5249429182229900;5249429182229900
Viviani Silva Lirio;PQ-2;01/03/23;28/02/26;UFV;Em folha de pagamento;;http://lattes.cnpq.br/8215754365980649;8215754365980649
Vladimir Kuhl Teles;PQ-1D;01/03/23;28/02/27;FGV;Em folha de pagamento;;http://lattes.cnpq.br/6903831674204360;6903831674204360
Vladimir Pinheiro Ponczek;PQ-1D;01/03/22;28/02/26;FGV;Em folha de pagamento;;http://lattes.cnpq.br/0852575277868608;0852575277868608
Wagner Piazza Gaglianone;PQ-2;01/03/22;28/02/25;FGV;Em folha de pagamento;;http://lattes.cnpq.br/9629434340424424;9629434340424424
Wallace Patrick Santos de Farias Souza;PQ-2;01/03/22;28/02/25;UFPB;Em folha de pagamento;;http://lattes.cnpq.br/0207157049820845;0207157049820845
Weslem Rodrigues Faria;PQ-2;01/03/23;28/02/26;UFJF;Suspenso;(***) Bolsa interrompida por motivo de estágio ou pós-doutoramento no exterior, ou por nomeação para cargo em comissão do grupo de Direção e Assessoramento Superior (DAS) do CNPq.;http://lattes.cnpq.br/4105225659516241;4105225659516241
Wilfredo Fernando Leiva Maldonado;PQ-2;01/03/23;28/02/26;FEAC/USP;Em folha de pagamento;;http://lattes.cnpq.br/2898705867805713;2898705867805713
Yony de Sa Barreto Sampaio;PQ-1D;01/03/20;29/02/24;UFPE;Em folha de pagamento;;http://lattes.cnpq.br/2416946445503274;2416946445503274
