issn,revista,qualis
1726569X,ACTA BIOETHICA,B4
07175906,ACTA BIOETHICA,B4
23583363,ACTA BIOLOGICA CATARINENSE,C
0120548X,ACTA BIOLOGICA COLOMBIANA,B1
03012123,ACTA BIOLOGICA PARANAENSE,C
17427061,ACTA BIOMATERIALIA,A1
22360867,ACTA BIOMEDICA BRASILIENSIA,B1
1677941X,ACTA BOTANICA BRASILICA,B1
01023306,ACTA BOTANICA BRASILICA,B1
02109506,ACTA BOTANICA MALACITANA,C
00015385,ACTA CARDIOLOGICA,B2
05836050,ACTA CARSOLOGICA,B1
13180207,ACTA CHIMICA SLOVENICA,B1
15081109,ACTA CHIROPTEROLOGICA,A3
12332356,ACTA CHROMATOGRAPHICA,B2
02537338,ACTA CIENCIA INDICA CHEMISTRY,B2
19840918,ACTA CIENTIFICA,B4
15199800,ACTA CIENTIFICA CIENCIAS HUMANAS,B4
22362622,ACTA CIENTIFICA,C
16782674,ACTA CIRURGICA BRASILEIRA,B1
01028650,ACTA CIRURGICA BRASILEIRA,B1
01888145,ACTA COMPORTAMENTALIA,A3
20532733,ACTA CRYSTALLOGRAPHICA A FOUNDATION AND ADVANCES,A2
01087673,ACTA CRYSTALLOGRAPHICA SECTION A FOUNDATIONS OF CRYSTALLOGRAPHY,A2
16005368,ACTA CRYSTALLOGRAPHICA SECTION E,C
20569890,ACTA CRYSTALLOGRAPHICA SECTION E CRYSTALLOGRAPHIC COMMUNICATIONS,B4
2053230X,ACTA CRYSTALLOGRAPHICA SECTION F STRUCTURAL BIOLOGY COMMUNICATIONS,B2
00015547,ACTA CYTOLOGICA,B1
00015555,ACTA DERMATOVENEREOLOGICA,A2
1330027X,ACTA DERMATOVENEROLOGICA CROATICA,B2
09405429,ACTA DIABETOLOGICA,A2
03741036,ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,B1
14379546,ACTA ETHOLOGICA,A3
08739749,ACTA ETHOLOGICA,A3
23170190,ACTA FISIATRICA,A3
